delta X,delta width (hydro),delta volume (hydro)
-0.5,-0.5,-5.000000000000000e-01
-4.900000000000000e-01,-4.899999999999999e-01,-4.900000000000000e-01
-4.800000000000000e-01,-4.800000000000000e-01,-4.800000000000000e-01
-4.700000000000000e-01,-4.700000000000000e-01,-4.700000000000000e-01
-4.600000000000000e-01,-4.600000000000000e-01,-4.600000000000000e-01
-4.500000000000000e-01,-4.500000000000000e-01,-4.500000000000001e-01
-4.400000000000000e-01,-4.399999999999999e-01,-4.399999999999999e-01
-4.300000000000000e-01,-4.299999999999999e-01,-4.299999999999999e-01
-4.200000000000000e-01,-4.199999999999999e-01,-4.199999999999999e-01
-4.100000000000000e-01,-4.100000000000000e-01,-4.100000000000000e-01
-4.000000000000000e-01,-4.000000000000000e-01,-4.000000000000000e-01
-3.900000000000000e-01,-3.900000000000000e-01,-3.900000000000000e-01
-3.800000000000000e-01,-3.800000000000001e-01,-3.800000000000001e-01
-3.700000000000000e-01,-3.700000000000000e-01,-3.700000000000000e-01
-3.600000000000000e-01,-3.600000000000000e-01,-3.600000000000001e-01
-3.500000000000000e-01,-3.500000000000001e-01,-3.500000000000001e-01
-3.400000000000000e-01,-3.400000000000000e-01,-3.400000000000000e-01
-3.300000000000000e-01,-3.300000000000001e-01,-3.300000000000001e-01
-3.200000000000000e-01,-3.200000000000000e-01,-3.200000000000001e-01
-3.100000000000000e-01,-3.100000000000001e-01,-3.099999999999999e-01
-3.000000000000000e-01,-3.000000000000000e-01,-3.000000000000000e-01
-2.900000000000000e-01,-2.900000000000000e-01,-2.900000000000000e-01
-2.800000000000000e-01,-2.800000000000000e-01,-2.800000000000001e-01
-2.700000000000000e-01,-2.700000000000000e-01,-2.700000000000000e-01
-2.600000000000000e-01,-2.600000000000000e-01,-2.600000000000000e-01
-2.500000000000000e-01,-2.499999999999999e-01,-2.499999999999999e-01
-2.400000000000000e-01,-2.400000000000000e-01,-2.400000000000000e-01
-2.300000000000000e-01,-2.300000000000000e-01,-2.300000000000000e-01
-2.200000000000000e-01,-2.200000000000000e-01,-2.200000000000000e-01
-2.100000000000000e-01,-2.100000000000000e-01,-2.100000000000000e-01
-2.000000000000000e-01,-2.000000000000000e-01,-2.000000000000000e-01
-1.900000000000000e-01,-1.899999999999998e-01,-1.899999999999998e-01
-1.800000000000000e-01,-1.800000000000000e-01,-1.800000000000000e-01
-1.700000000000000e-01,-1.700000000000000e-01,-1.700000000000000e-01
-1.600000000000000e-01,-1.600000000000001e-01,-1.600000000000001e-01
-1.500000000000000e-01,-1.500000000000000e-01,-1.500000000000001e-01
-1.400000000000000e-01,-1.400000000000000e-01,-1.399999999999999e-01
-1.300000000000000e-01,-1.300000000000000e-01,-1.300000000000000e-01
-1.200000000000000e-01,-1.199999999999999e-01,-1.199999999999999e-01
-1.100000000000000e-01,-1.100000000000000e-01,-1.100000000000001e-01
-1.000000000000000e-01,-9.999999999999998e-02,-1.000000000000001e-01
-9.000000000000000e-02,-8.999999999999997e-02,-8.999999999999997e-02
-8.000000000000000e-02,-7.999999999999996e-02,-8.000000000000007e-02
-7.000000000000001e-02,-7.000000000000006e-02,-7.000000000000017e-02
-6.000000000000000e-02,-6.000000000000005e-02,-6.000000000000016e-02
-5.000000000000000e-02,-5.000000000000016e-02,-5.000000000000004e-02
-4.000000000000000e-02,-3.999999999999992e-02,-3.999999999999992e-02
-3.000000000000000e-02,-3.000000000000003e-02,-3.000000000000003e-02
